username,date,post,location,hashtags,sentiment,engagement
anthonyorr,2025-05-16,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #wanderlust",Positive,3764
@nomadic_joe,2023-07-15,Bali is calling... and I must go ✈️,Bali,"#naturelovers, #wanderlust",Negative,9012
james96,2025-01-13,Backpacking through Bali has been a dream come true!,Bali,"#travelgram, #vacationvibes",Negative,291
dmeyer,2024-02-09,Sunsets in Tokyo hit different 🌅,Tokyo,"#travelgram, #travel2025, #wanderlust",Positive,3101
moransamantha,2023-09-26,Exploring the beauty of Tokyo! 🧳,Tokyo,"#naturelovers, #wanderlust",Neutral,6315
@vibecheck_travel,2024-01-15,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#travelgram, #vacationvibes",Neutral,5891
linvictoria,2025-01-13,Santorini is calling... and I must go ✈️,Santorini,"#wanderlust, #travel2025, #travelgram",Neutral,6024
schmittlinda,2025-01-23,Exploring the beauty of Tokyo! 🧳,Tokyo,"#wanderlust, #naturelovers",Neutral,2428
jessicamurphy,2024-07-22,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#vacationvibes,Negative,6013
joshua81,2024-12-24,Backpacking through Bali has been a dream come true!,Bali,"#travel2025, #travelgram",Neutral,1893
patricia06,2023-09-11,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Positive,4847
james80,2024-10-29,Exploring the beauty of Amsterdam! 🧳,Amsterdam,#wanderlust,Positive,7014
@wander.jane,2025-05-02,Exploring the beauty of Cape Town! 🧳,Cape Town,#travelgram,Negative,6084
emilybaker,2023-10-20,Santorini is calling... and I must go ✈️,Santorini,"#travelgram, #vacationvibes",Neutral,4065
ucervantes,2024-07-14,Backpacking through Paris has been a dream come true!,Paris,"#travel2025, #travelgram",Positive,5388
david18,2025-04-20,Exploring the beauty of Bali! 🧳,Bali,"#vacationvibes, #naturelovers",Positive,8087
aaronjones,2024-08-31,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#wanderlust, #travelgram",Positive,5308
jenniferwilliams,2024-12-10,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#wanderlust, #vacationvibes, #travel2025",Positive,3887
christina93,2024-11-01,Sunsets in Cape Town hit different 🌅,Cape Town,"#vacationvibes, #wanderlust, #travel2025",Positive,797
@nomadic_joe,2025-04-07,Cape Town is calling... and I must go ✈️,Cape Town,#travel2025,Neutral,4845
@wander.jane,2024-07-09,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #naturelovers",Positive,7284
iharper,2024-07-02,Exploring the beauty of Santorini! 🧳,Santorini,"#travel2025, #wanderlust",Neutral,5975
colin14,2024-05-15,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #travel2025, #naturelovers",Neutral,1650
qnguyen,2024-05-20,Sunsets in Rome hit different 🌅,Rome,"#travel2025, #wanderlust",Neutral,4907
@eco.backpacker,2024-11-19,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #vacationvibes, #naturelovers",Positive,2880
baileyraymond,2023-10-02,Sunsets in Manali hit different 🌅,Manali,"#naturelovers, #vacationvibes",Negative,3096
flarsen,2024-10-03,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#wanderlust, #vacationvibes",Positive,218
bmcdaniel,2024-02-05,Rome is calling... and I must go ✈️,Rome,"#travel2025, #naturelovers, #vacationvibes",Negative,3433
william60,2024-09-03,Can't get enough of Manali 😍 #wanderlust,Manali,"#naturelovers, #vacationvibes, #travel2025",Positive,9941
jose56,2024-04-23,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#vacationvibes, #naturelovers, #travelgram",Positive,544
qcoleman,2025-06-02,Backpacking through New York has been a dream come true!,New York,"#vacationvibes, #travel2025, #wanderlust",Positive,6120
adamsjessica,2024-03-14,Sunsets in Paris hit different 🌅,Paris,#travelgram,Neutral,9945
parkerrobert,2024-09-11,Tokyo is calling... and I must go ✈️,Tokyo,#naturelovers,Positive,5413
amandachan,2023-09-18,Cape Town is calling... and I must go ✈️,Cape Town,"#travelgram, #wanderlust",Positive,5320
david80,2025-01-05,Dharamshala is calling... and I must go ✈️,Dharamshala,#vacationvibes,Positive,8238
langchristopher,2024-12-23,Sunsets in Manali hit different 🌅,Manali,"#travel2025, #vacationvibes",Negative,502
rhonda81,2024-11-14,Backpacking through Paris has been a dream come true!,Paris,"#travel2025, #naturelovers",Positive,2183
stonemichael,2023-11-26,Can't get enough of Rome 😍 #wanderlust,Rome,#wanderlust,Neutral,2462
maryfoster,2025-01-02,Exploring the beauty of Rome! 🧳,Rome,#wanderlust,Neutral,8079
kellymartin,2024-04-10,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#vacationvibes,Positive,4875
robert83,2025-06-24,Backpacking through Tokyo has been a dream come true!,Tokyo,"#travelgram, #wanderlust, #travel2025",Positive,9505
johnsonandrew,2025-06-24,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travelgram,Positive,7010
masonlacey,2023-07-27,Exploring the beauty of Cape Town! 🧳,Cape Town,#naturelovers,Negative,534
justinjohnson,2024-10-27,Tokyo is calling... and I must go ✈️,Tokyo,"#naturelovers, #wanderlust, #vacationvibes",Negative,3070
@wander.jane,2025-03-17,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#wanderlust, #naturelovers",Positive,7432
irios,2025-03-21,Exploring the beauty of Rome! 🧳,Rome,#wanderlust,Positive,694
michelle11,2024-07-20,Exploring the beauty of Manali! 🧳,Manali,#travelgram,Positive,6820
vsmith,2025-03-30,Can't get enough of Rome 😍 #wanderlust,Rome,"#travelgram, #vacationvibes",Positive,7268
codychapman,2024-04-23,Backpacking through Tokyo has been a dream come true!,Tokyo,"#vacationvibes, #naturelovers",Negative,137
marievillarreal,2025-02-23,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#wanderlust, #vacationvibes, #travel2025",Positive,5781
ronald04,2024-01-23,Backpacking through Cape Town has been a dream come true!,Cape Town,"#travelgram, #wanderlust, #naturelovers",Neutral,3734
qharris,2024-11-15,Tokyo is calling... and I must go ✈️,Tokyo,"#travel2025, #vacationvibes, #wanderlust",Positive,9431
bbennett,2023-09-05,Santorini is calling... and I must go ✈️,Santorini,#travelgram,Neutral,9277
tammyhoffman,2024-07-04,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#vacationvibes,Neutral,5475
rebecca88,2023-12-31,Tokyo is calling... and I must go ✈️,Tokyo,#naturelovers,Neutral,3415
fsmith,2025-01-10,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #travelgram",Positive,8334
wbean,2024-08-22,Amsterdam is calling... and I must go ✈️,Amsterdam,"#wanderlust, #vacationvibes",Neutral,6813
chavezbecky,2023-07-14,Can't get enough of Bali 😍 #wanderlust,Bali,#naturelovers,Positive,1742
cwise,2024-04-07,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,"#wanderlust, #travel2025, #naturelovers",Neutral,4953
phart,2024-02-21,Backpacking through Paris has been a dream come true!,Paris,#travelgram,Positive,616
douglas11,2024-09-02,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#travel2025,Positive,3429
@nomadic_joe,2024-09-27,Exploring the beauty of Tokyo! 🧳,Tokyo,#travel2025,Positive,5479
christopherpowell,2025-04-05,Exploring the beauty of Manali! 🧳,Manali,#naturelovers,Negative,5581
kmills,2025-02-04,Sunsets in New York hit different 🌅,New York,"#wanderlust, #travel2025, #vacationvibes",Positive,9229
briansnyder,2024-05-09,Can't get enough of New York 😍 #wanderlust,New York,"#travel2025, #naturelovers, #wanderlust",Negative,4085
@eco.backpacker,2024-02-29,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#vacationvibes, #travel2025, #wanderlust",Neutral,8870
rsavage,2024-12-12,Exploring the beauty of Paris! 🧳,Paris,#travelgram,Neutral,9549
karinorton,2024-08-21,Bali is calling... and I must go ✈️,Bali,"#naturelovers, #vacationvibes",Positive,9899
pedwards,2023-12-25,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#wanderlust,Positive,6627
steven78,2024-08-28,Exploring the beauty of Paris! 🧳,Paris,"#vacationvibes, #travelgram",Positive,1124
morseronald,2023-08-24,Bali is calling... and I must go ✈️,Bali,#naturelovers,Neutral,1572
amartinez,2023-10-28,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,"#travelgram, #wanderlust",Positive,7362
martinsamuel,2023-09-21,Can't get enough of Santorini 😍 #wanderlust,Santorini,#vacationvibes,Positive,2148
mccluretyler,2024-10-23,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travelgram, #travel2025",Neutral,6581
jtaylor,2024-05-14,New York is calling... and I must go ✈️,New York,#travel2025,Neutral,7025
hsmith,2024-05-28,Santorini is calling... and I must go ✈️,Santorini,#wanderlust,Positive,8783
jennifer48,2024-03-01,Sunsets in New York hit different 🌅,New York,#travelgram,Positive,1784
anne22,2024-02-05,Sunsets in Santorini hit different 🌅,Santorini,"#travel2025, #travelgram, #naturelovers",Positive,3488
@vibecheck_travel,2024-04-08,Exploring the beauty of Tokyo! 🧳,Tokyo,"#wanderlust, #travelgram, #naturelovers",Neutral,7998
thomas35,2025-06-14,Cape Town is calling... and I must go ✈️,Cape Town,"#travel2025, #travelgram, #naturelovers",Neutral,4167
frankespinoza,2024-06-27,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,#naturelovers,Positive,4217
stewartharold,2024-06-24,Backpacking through Manali has been a dream come true!,Manali,#naturelovers,Positive,171
holderadam,2024-12-20,Backpacking through New York has been a dream come true!,New York,"#vacationvibes, #wanderlust",Positive,9463
jamesdavis,2024-06-15,Can't get enough of Paris 😍 #wanderlust,Paris,#travel2025,Positive,7095
cody97,2024-09-28,Exploring the beauty of Manali! 🧳,Manali,"#naturelovers, #wanderlust",Positive,8944
carlfields,2025-05-11,New York is calling... and I must go ✈️,New York,"#wanderlust, #travelgram",Neutral,5936
michaelsmith,2023-11-21,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#naturelovers,Positive,7213
justin69,2025-01-11,Can't get enough of Rome 😍 #wanderlust,Rome,"#travel2025, #wanderlust",Neutral,7951
michael64,2024-09-02,Backpacking through Tokyo has been a dream come true!,Tokyo,#travelgram,Positive,5274
chrishernandez,2025-01-12,Exploring the beauty of Manali! 🧳,Manali,"#vacationvibes, #travel2025, #travelgram",Positive,5790
joshuabaker,2023-09-12,Exploring the beauty of Bali! 🧳,Bali,"#travel2025, #travelgram, #vacationvibes",Neutral,6697
lauramatthews,2025-02-09,Sunsets in Tokyo hit different 🌅,Tokyo,"#travel2025, #vacationvibes",Positive,3003
xrivera,2025-04-17,Exploring the beauty of Bali! 🧳,Bali,#travel2025,Positive,4759
@vibecheck_travel,2023-12-04,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Positive,6512
@nomadic_joe,2023-12-10,Tokyo is calling... and I must go ✈️,Tokyo,#travel2025,Positive,912
noblechristina,2023-10-14,Sunsets in Cape Town hit different 🌅,Cape Town,"#travel2025, #naturelovers",Positive,694
thomassmith,2023-08-24,Can't get enough of Bali 😍 #wanderlust,Bali,"#wanderlust, #naturelovers, #travelgram",Neutral,4074
taylorlindsay,2024-05-20,Can't get enough of Manali 😍 #wanderlust,Manali,"#naturelovers, #travel2025, #wanderlust",Positive,1584
gmurphy,2025-02-04,Backpacking through Santorini has been a dream come true!,Santorini,#vacationvibes,Negative,6929
@vibecheck_travel,2025-02-15,Backpacking through Bali has been a dream come true!,Bali,#vacationvibes,Positive,4653
wmccarthy,2024-02-22,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #wanderlust, #travel2025",Negative,6454
alyssa93,2023-11-01,Can't get enough of New York 😍 #wanderlust,New York,"#naturelovers, #travelgram, #wanderlust",Positive,7636
jennifer68,2024-06-02,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#vacationvibes, #wanderlust",Positive,2452
qneal,2024-12-08,Exploring the beauty of Paris! 🧳,Paris,#travel2025,Neutral,4293
grantryan,2024-03-21,Exploring the beauty of New York! 🧳,New York,"#travelgram, #travel2025",Negative,6424
anthonydiaz,2024-06-21,Sunsets in Manali hit different 🌅,Manali,"#wanderlust, #travel2025",Positive,6412
jessica39,2024-09-01,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#vacationvibes, #wanderlust",Positive,4162
patrickwhite,2025-01-25,Sunsets in Cape Town hit different 🌅,Cape Town,#naturelovers,Negative,7071
gonzalezmichael,2023-11-23,Santorini is calling... and I must go ✈️,Santorini,"#travelgram, #wanderlust",Positive,1467
willismark,2025-06-01,Backpacking through Rome has been a dream come true!,Rome,"#naturelovers, #travel2025, #wanderlust",Positive,2813
ruth80,2024-10-08,Backpacking through New York has been a dream come true!,New York,#vacationvibes,Positive,1324
arthur47,2024-04-29,Can't get enough of Rome 😍 #wanderlust,Rome,#travelgram,Positive,3267
@nomadic_joe,2024-01-23,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travelgram, #vacationvibes, #naturelovers",Neutral,4857
maddoxmadeline,2025-04-25,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#travel2025, #vacationvibes, #wanderlust",Positive,4651
oosborn,2024-06-12,Can't get enough of Rome 😍 #wanderlust,Rome,#naturelovers,Positive,1085
vthompson,2025-05-04,Exploring the beauty of Bali! 🧳,Bali,"#travelgram, #travel2025, #naturelovers",Negative,5177
johnsonanthony,2025-05-19,Sunsets in Rome hit different 🌅,Rome,#wanderlust,Positive,5313
janicethompson,2025-04-15,Backpacking through Cape Town has been a dream come true!,Cape Town,#wanderlust,Positive,8793
christopherflowers,2023-09-25,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #wanderlust, #travel2025",Positive,6776
ramosjennifer,2024-02-24,Sunsets in Santorini hit different 🌅,Santorini,#vacationvibes,Positive,4341
hodgejoshua,2025-04-17,Can't get enough of New York 😍 #wanderlust,New York,"#wanderlust, #vacationvibes",Neutral,7445
dianamclaughlin,2024-03-09,Manali is calling... and I must go ✈️,Manali,"#vacationvibes, #naturelovers",Positive,3881
rachael29,2025-01-05,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#travelgram,Neutral,1477
zachary66,2025-04-05,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#naturelovers, #wanderlust, #vacationvibes",Positive,2785
@vibecheck_travel,2024-07-18,Exploring the beauty of Cape Town! 🧳,Cape Town,#naturelovers,Positive,9259
jessicamiller,2024-06-03,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #travelgram",Positive,595
hilljames,2024-07-21,Exploring the beauty of Manali! 🧳,Manali,#travel2025,Positive,9751
vthompson,2025-04-09,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#wanderlust,Positive,3506
collinsann,2023-09-24,Bali is calling... and I must go ✈️,Bali,"#wanderlust, #travel2025",Positive,6772
steven19,2025-06-16,Backpacking through Rome has been a dream come true!,Rome,"#travelgram, #wanderlust, #naturelovers",Positive,8374
fdavis,2023-11-13,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travel2025, #travelgram",Neutral,814
lopezbrittany,2023-07-10,Dharamshala is calling... and I must go ✈️,Dharamshala,#naturelovers,Positive,2821
kristinarobinson,2024-04-10,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#vacationvibes, #naturelovers, #wanderlust",Neutral,5336
umiller,2024-01-02,Sunsets in Bali hit different 🌅,Bali,"#travel2025, #naturelovers, #wanderlust",Neutral,9241
mary32,2024-02-21,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #naturelovers, #wanderlust",Positive,1052
grayjustin,2024-01-27,Santorini is calling... and I must go ✈️,Santorini,#naturelovers,Negative,292
annettegutierrez,2025-04-03,Can't get enough of Rome 😍 #wanderlust,Rome,"#naturelovers, #travel2025, #travelgram",Neutral,9333
joshuagonzalez,2024-02-09,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#wanderlust, #travel2025",Positive,3393
heidi41,2024-07-09,Paris is calling... and I must go ✈️,Paris,#vacationvibes,Neutral,8797
beth58,2024-06-08,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travelgram, #travel2025, #vacationvibes",Positive,3429
benjamindavenport,2024-04-19,Backpacking through Cape Town has been a dream come true!,Cape Town,"#travel2025, #wanderlust, #travelgram",Neutral,5005
amandaclark,2024-12-21,Exploring the beauty of Cape Town! 🧳,Cape Town,#travelgram,Positive,6907
zreed,2024-12-05,Exploring the beauty of Rome! 🧳,Rome,"#naturelovers, #travel2025",Positive,8874
jared88,2025-03-30,Can't get enough of Rome 😍 #wanderlust,Rome,#travelgram,Positive,2710
christopher34,2023-12-11,Can't get enough of New York 😍 #wanderlust,New York,"#naturelovers, #travelgram, #vacationvibes",Neutral,2453
hgreen,2024-07-30,Santorini is calling... and I must go ✈️,Santorini,"#naturelovers, #wanderlust, #travel2025",Positive,141
thomasmcdonald,2024-03-01,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travelgram, #travel2025, #naturelovers",Positive,8695
anne90,2024-03-01,Exploring the beauty of Cape Town! 🧳,Cape Town,#vacationvibes,Neutral,9567
sotomisty,2023-07-01,Backpacking through Tokyo has been a dream come true!,Tokyo,#travelgram,Positive,809
robertcook,2024-11-09,Santorini is calling... and I must go ✈️,Santorini,#naturelovers,Negative,4938
lopezmichael,2023-10-29,Bali is calling... and I must go ✈️,Bali,#travel2025,Positive,565
wpayne,2023-07-11,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#travel2025, #vacationvibes",Positive,6843
dlamb,2024-09-28,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#travelgram, #naturelovers, #vacationvibes",Positive,365
esimon,2025-04-02,Can't get enough of Rome 😍 #wanderlust,Rome,"#naturelovers, #travelgram, #vacationvibes",Positive,4565
johnnybrooks,2024-03-13,Exploring the beauty of Santorini! 🧳,Santorini,"#naturelovers, #wanderlust",Positive,1890
tgregory,2023-07-26,Cape Town is calling... and I must go ✈️,Cape Town,#travel2025,Neutral,2219
@eco.backpacker,2024-07-22,Backpacking through Bali has been a dream come true!,Bali,#naturelovers,Positive,2016
fisherkim,2024-09-15,Exploring the beauty of Rome! 🧳,Rome,"#travel2025, #vacationvibes, #wanderlust",Neutral,4647
kwatkins,2024-07-26,Can't get enough of New York 😍 #wanderlust,New York,"#naturelovers, #vacationvibes",Neutral,4196
sandratanner,2024-12-17,Backpacking through Manali has been a dream come true!,Manali,"#vacationvibes, #wanderlust, #naturelovers",Positive,4887
stephaniebradley,2023-10-11,Sunsets in Tokyo hit different 🌅,Tokyo,#travelgram,Positive,9643
@eco.backpacker,2023-08-05,Can't get enough of Santorini 😍 #wanderlust,Santorini,#vacationvibes,Positive,4412
parkerkatie,2025-03-08,Cape Town is calling... and I must go ✈️,Cape Town,"#wanderlust, #travel2025",Neutral,7404
stephen27,2023-06-25,Can't get enough of Bali 😍 #wanderlust,Bali,"#travel2025, #vacationvibes",Positive,5101
jamesjackson,2024-02-18,Sunsets in Bali hit different 🌅,Bali,"#travel2025, #vacationvibes",Positive,8779
lopezmichaela,2024-05-29,Sunsets in Rome hit different 🌅,Rome,"#wanderlust, #travel2025",Negative,4506
ramseyeric,2024-08-29,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#wanderlust,Positive,7451
adam25,2023-09-10,Can't get enough of Rome 😍 #wanderlust,Rome,"#travelgram, #naturelovers, #vacationvibes",Positive,3287
zpierce,2024-12-18,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#wanderlust, #vacationvibes",Positive,8716
robertabarnett,2025-03-31,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#wanderlust, #travel2025, #vacationvibes",Positive,7989
wmccarthy,2025-06-06,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#wanderlust, #travelgram, #naturelovers",Neutral,2766
hugheslucas,2025-06-20,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#travel2025, #wanderlust, #naturelovers",Positive,7483
ricardomurphy,2024-01-30,Backpacking through Cape Town has been a dream come true!,Cape Town,"#travel2025, #naturelovers",Negative,9716
icarlson,2023-08-19,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,"#naturelovers, #travel2025, #wanderlust",Positive,7872
tracy90,2023-12-14,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#vacationvibes, #naturelovers, #travel2025",Neutral,7157
katrinawood,2024-03-14,Sunsets in Bali hit different 🌅,Bali,#travel2025,Positive,8623
bishopkaren,2025-06-04,Backpacking through New York has been a dream come true!,New York,#wanderlust,Positive,3156
@wander.jane,2023-11-18,Exploring the beauty of Cape Town! 🧳,Cape Town,#travel2025,Positive,4794
clarkryan,2024-03-14,Exploring the beauty of New York! 🧳,New York,"#vacationvibes, #naturelovers, #wanderlust",Neutral,1153
bvaldez,2023-10-20,Can't get enough of New York 😍 #wanderlust,New York,#travelgram,Neutral,3617
larry70,2024-01-13,Exploring the beauty of New York! 🧳,New York,#travel2025,Positive,5315
zwhite,2024-12-05,Backpacking through Tokyo has been a dream come true!,Tokyo,"#travel2025, #wanderlust",Positive,5411
@eco.backpacker,2024-12-08,Sunsets in Dharamshala hit different 🌅,Dharamshala,#travel2025,Positive,2529
riosrichard,2025-03-12,Backpacking through Bali has been a dream come true!,Bali,#travel2025,Positive,9392
martindavid,2024-07-22,Rome is calling... and I must go ✈️,Rome,"#naturelovers, #wanderlust",Neutral,6614
aparks,2024-07-06,Backpacking through Tokyo has been a dream come true!,Tokyo,"#wanderlust, #travelgram, #travel2025",Positive,1445
dhenderson,2024-02-15,Sunsets in Rome hit different 🌅,Rome,#wanderlust,Positive,1696
ogreen,2023-09-23,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travelgram, #vacationvibes, #wanderlust",Neutral,4807
xshaw,2024-06-26,Sunsets in Bali hit different 🌅,Bali,#travelgram,Positive,2726
megan51,2025-02-24,Can't get enough of Manali 😍 #wanderlust,Manali,#travel2025,Positive,6680
tinaschmidt,2024-04-17,Exploring the beauty of Santorini! 🧳,Santorini,#vacationvibes,Positive,2828
hernandezmatthew,2025-06-19,Santorini is calling... and I must go ✈️,Santorini,"#wanderlust, #travel2025",Positive,2988
james97,2024-05-27,Can't get enough of Bali 😍 #wanderlust,Bali,"#travelgram, #wanderlust, #naturelovers",Positive,3490
marshallbill,2025-04-29,Exploring the beauty of Rome! 🧳,Rome,#travelgram,Neutral,5137
dstevens,2025-05-15,New York is calling... and I must go ✈️,New York,"#naturelovers, #wanderlust",Neutral,470
johnny54,2025-02-09,Backpacking through Rome has been a dream come true!,Rome,"#travel2025, #naturelovers",Positive,134
danielsguy,2024-03-28,Rome is calling... and I must go ✈️,Rome,"#wanderlust, #naturelovers",Neutral,9181
usmith,2024-02-11,Exploring the beauty of Manali! 🧳,Manali,"#travel2025, #naturelovers",Negative,1335
larsonmichael,2023-07-23,Sunsets in New York hit different 🌅,New York,"#travel2025, #travelgram",Positive,9197
fwright,2024-08-13,Backpacking through Manali has been a dream come true!,Manali,#travelgram,Positive,1613
martinezduane,2024-07-12,Manali is calling... and I must go ✈️,Manali,"#travelgram, #vacationvibes",Neutral,1966
@globetrotter77,2024-06-14,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #naturelovers, #wanderlust",Positive,256
samanthaberger,2025-06-18,Sunsets in New York hit different 🌅,New York,"#wanderlust, #travelgram",Negative,4123
uwilliams,2024-04-09,Backpacking through Cape Town has been a dream come true!,Cape Town,#travel2025,Positive,3474
thomastiffany,2024-11-01,Cape Town is calling... and I must go ✈️,Cape Town,"#travel2025, #wanderlust",Positive,8962
reyestina,2023-08-25,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travelgram, #wanderlust, #naturelovers",Positive,2533
sara46,2024-05-01,Sunsets in Dharamshala hit different 🌅,Dharamshala,#naturelovers,Neutral,6310
whitejulie,2025-01-05,New York is calling... and I must go ✈️,New York,"#naturelovers, #travel2025, #wanderlust",Neutral,6890
copelandryan,2023-09-23,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,#travel2025,Neutral,4369
ashleycooley,2024-10-15,Backpacking through Bali has been a dream come true!,Bali,"#wanderlust, #vacationvibes, #travel2025",Positive,9964
heatherwilliams,2024-09-12,Amsterdam is calling... and I must go ✈️,Amsterdam,#naturelovers,Positive,1974
blewis,2024-01-24,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Neutral,4672
joshuapowers,2024-10-06,Exploring the beauty of Paris! 🧳,Paris,#travel2025,Neutral,6436
rbrowning,2024-02-01,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#travelgram,Positive,9239
adam30,2025-02-21,Sunsets in Bali hit different 🌅,Bali,#vacationvibes,Positive,1875
rsandoval,2024-01-18,Cape Town is calling... and I must go ✈️,Cape Town,#travelgram,Negative,2653
ogeorge,2024-02-27,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travel2025, #vacationvibes",Neutral,4516
walkerandrew,2024-03-03,Sunsets in Manali hit different 🌅,Manali,"#vacationvibes, #wanderlust",Negative,2304
bryceroberts,2024-12-29,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #travelgram",Positive,9426
omatthews,2024-09-29,Can't get enough of Manali 😍 #wanderlust,Manali,"#travelgram, #vacationvibes, #travel2025",Neutral,2217
amber78,2023-07-04,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,#travelgram,Neutral,95
matthew57,2023-10-20,Can't get enough of Manali 😍 #wanderlust,Manali,#travel2025,Neutral,8809
fdickerson,2023-12-05,Exploring the beauty of New York! 🧳,New York,#travelgram,Positive,7396
emilyscott,2023-07-20,Can't get enough of Bali 😍 #wanderlust,Bali,"#naturelovers, #vacationvibes",Positive,899
welchanna,2024-03-19,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,#vacationvibes,Positive,187
clarktraci,2024-04-06,Exploring the beauty of Manali! 🧳,Manali,#naturelovers,Negative,7077
kelly57,2024-11-29,Exploring the beauty of New York! 🧳,New York,"#naturelovers, #wanderlust, #vacationvibes",Negative,9755
njohnson,2024-09-21,Can't get enough of Santorini 😍 #wanderlust,Santorini,#travel2025,Neutral,2266
claudiacunningham,2024-05-12,Backpacking through Bali has been a dream come true!,Bali,"#travelgram, #travel2025",Neutral,7587
potterjustin,2025-01-22,Backpacking through Manali has been a dream come true!,Manali,"#naturelovers, #travelgram",Positive,3108
yfritz,2025-06-09,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#naturelovers,Neutral,2229
nicholasrush,2023-09-28,Sunsets in Rome hit different 🌅,Rome,"#travelgram, #naturelovers",Positive,9725
fosterjason,2023-09-18,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travelgram, #naturelovers",Neutral,3738
gregory26,2024-08-25,Exploring the beauty of Amsterdam! 🧳,Amsterdam,#naturelovers,Positive,9028
nbell,2024-05-14,Cape Town is calling... and I must go ✈️,Cape Town,"#travelgram, #travel2025",Positive,4686
luis51,2024-11-21,Manali is calling... and I must go ✈️,Manali,"#travel2025, #naturelovers",Positive,2497
wayne86,2023-12-16,Santorini is calling... and I must go ✈️,Santorini,"#vacationvibes, #wanderlust, #travel2025",Neutral,3895
@wander.jane,2024-02-02,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #travelgram",Positive,4905
lmoore,2024-04-30,Can't get enough of Rome 😍 #wanderlust,Rome,"#vacationvibes, #wanderlust",Positive,1080
aaron57,2024-11-15,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #naturelovers",Positive,121
francesgarcia,2024-09-17,Santorini is calling... and I must go ✈️,Santorini,#wanderlust,Positive,5227
amccann,2023-11-18,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#naturelovers, #vacationvibes",Positive,2986
