Date,Description,Debit (INR),Credit (INR),Balance
2025-03-18,Electricity Bill,12108.76,,-21781702.19
2025-06-02,Amazon Purchase,11321.71,,-21793023.9
2025-04-18,Electricity Bill,6868.84,,-21799892.74
2025-06-22,UPI to Zomato,14515.0,,-21814407.74
2025-03-14,Electricity Bill,16739.0,,-21831146.74
2025-04-14,Flight Booking,13999.32,,-21845146.06
2025-05-01,Fuel,6225.82,,-21851371.88
2025-01-31,UPI to Zomato,8308.31,,-21859680.19
2025-06-17,Insurance Premium,10559.27,,-21870239.46
2025-04-05,UPI to Zomato,16244.28,,-21886483.74
2025-01-17,Electricity Bill,5562.44,,-21892046.18
2025-03-20,Fuel,18501.38,,-21910547.56
2025-01-20,Flight Booking,5786.53,,-21916334.09
2025-06-05,UPI to Zomato,3291.54,,-21919625.63
2025-02-22,Insurance Premium,13080.71,,-21932706.34
2025-05-09,SIP Investment,12220.07,,-21944926.41
2025-05-07,Flight Booking,12947.84,,-21957874.25
2025-04-23,Insurance Premium,17681.75,,-21975556.0
2025-04-07,Salary Credited,,5987.93,-21969568.07
2025-05-26,Credit Card Payment,5387.04,,-21974955.11
2025-05-15,Salary Credited,,13050.72,-21961904.39
2025-04-13,Medical Expense,12008.46,,-21973912.85
2025-05-21,Credit Card Payment,8952.38,,-21982865.23
2025-03-09,Insurance Premium,14469.77,,-21997335.0
2025-04-09,Credit Card Payment,13124.64,,-22010459.64
2025-06-18,SIP Investment,11735.29,,-22022194.93
2025-06-23,Electricity Bill,3380.28,,-22025575.21
2025-04-30,Medical Expense,13483.97,,-22039059.18
2025-02-17,Electricity Bill,11534.66,,-22050593.84
2025-03-21,Flight Booking,12864.12,,-22063457.96
2025-04-10,Salary Credited,,2986.42,-22060471.54
2025-03-13,Fuel,3221.75,,-22063693.29
2024-12-28,Salary Credited,,18508.48,-22045184.81
2025-03-30,Insurance Premium,17776.51,,-22062961.32
2025-06-07,Credit Card Payment,1719.36,,-22064680.68
2025-03-31,SIP Investment,16271.71,,-22080952.39
2025-05-28,Fuel,4368.12,,-22085320.51
2025-01-22,Fuel,14244.92,,-22099565.43
2025-03-26,UPI to Zomato,17044.65,,-22116610.08
2025-05-24,Amazon Purchase,15089.96,,-22131700.04
2025-04-13,Amazon Purchase,2080.59,,-22133780.63
2025-05-28,UPI to Zomato,11318.69,,-22145099.32
2025-01-18,Credit Card Payment,8874.58,,-22153973.9
2025-03-29,UPI to Zomato,7683.91,,-22161657.81
2025-03-19,Amazon Purchase,9700.65,,-22171358.46
2025-02-20,Fuel,10625.66,,-22181984.12
2025-06-20,Credit Card Payment,3806.63,,-22185790.75
2025-04-22,Amazon Purchase,15527.96,,-22201318.71
2025-04-25,Amazon Purchase,12229.05,,-22213547.76
2025-02-05,Electricity Bill,16016.3,,-22229564.06
2025-03-10,Insurance Premium,670.68,,-22230234.74
2025-02-25,Fuel,7264.44,,-22237499.18
2025-03-01,Fuel,17730.74,,-22255229.92
2025-04-24,Insurance Premium,11434.3,,-22266664.22
2025-01-24,UPI to Zomato,5139.35,,-22271803.57
2025-02-14,Credit Card Payment,16739.31,,-22288542.88
2025-02-03,Insurance Premium,16958.86,,-22305501.74
2025-03-30,Insurance Premium,6526.3,,-22312028.04
2025-03-21,Insurance Premium,2924.16,,-22314952.2
2025-03-01,UPI to Zomato,9197.13,,-22324149.33
2025-04-17,Electricity Bill,5227.79,,-22329377.12
2025-04-28,Salary Credited,,7819.98,-22321557.14
2025-06-20,Fuel,16982.38,,-22338539.52
2025-06-08,Amazon Purchase,1217.34,,-22339756.86
2024-12-28,UPI to Zomato,1204.22,,-22340961.08
2025-05-10,Insurance Premium,9707.11,,-22350668.19
2025-06-15,Flight Booking,6456.91,,-22357125.1
2025-03-20,Fuel,4665.66,,-22361790.76
2024-12-28,Salary Credited,,3420.62,-22358370.14
2025-03-24,Credit Card Payment,3578.52,,-22361948.66
2025-06-05,Insurance Premium,8924.58,,-22370873.24
2025-05-10,SIP Investment,6995.09,,-22377868.33
2025-01-11,Medical Expense,2178.17,,-22380046.5
2025-03-12,Fuel,12278.57,,-22392325.07
2025-03-18,Fuel,14667.38,,-22406992.45
2025-05-01,Fuel,4966.88,,-22411959.33
2025-01-23,Insurance Premium,7092.82,,-22419052.15
2025-03-12,Credit Card Payment,6840.81,,-22425892.96
2025-04-18,SIP Investment,19288.12,,-22445181.08
2025-04-15,SIP Investment,3244.82,,-22448425.9
2025-03-24,Medical Expense,16110.3,,-22464536.2
2024-12-26,Amazon Purchase,2097.04,,-22466633.24
2025-04-07,SIP Investment,3498.85,,-22470132.09
2025-04-13,Flight Booking,18021.64,,-22488153.73
2025-03-25,SIP Investment,15969.74,,-22504123.47
2025-05-24,Salary Credited,,15108.4,-22489015.07
2025-06-04,Electricity Bill,3411.12,,-22492426.19
2025-02-03,Electricity Bill,11416.45,,-22503842.64
2025-06-15,Amazon Purchase,9534.68,,-22513377.32
2025-01-31,Medical Expense,10753.32,,-22524130.64
2025-03-16,Credit Card Payment,17534.3,,-22541664.94
2025-06-15,Fuel,6966.47,,-22548631.41
2025-04-23,Medical Expense,2155.05,,-22550786.46
2025-06-16,Amazon Purchase,8487.9,,-22559274.36
2025-06-25,Electricity Bill,4859.25,,-22564133.61
2025-04-04,Flight Booking,16379.66,,-22580513.27
2025-06-18,SIP Investment,2176.41,,-22582689.68
2025-06-09,Flight Booking,19768.67,,-22602458.35
2025-05-12,Electricity Bill,12704.21,,-22615162.56
2025-03-10,Flight Booking,647.45,,-22615810.01
2025-02-06,Fuel,10611.7,,-22626421.71
2025-01-03,Insurance Premium,6841.48,,-22633263.19
2025-06-17,SIP Investment,2267.24,,-22635530.43
2025-04-07,Medical Expense,1878.48,,-22637408.91
2024-12-29,Insurance Premium,16642.74,,-22654051.65
2025-06-25,Electricity Bill,1115.36,,-22655167.01
2025-03-27,Amazon Purchase,17851.45,,-22673018.46
2025-06-11,Electricity Bill,3563.77,,-22676582.23
2025-06-14,Salary Credited,,10176.72,-22666405.51
2025-02-15,Electricity Bill,7931.99,,-22674337.5
2025-04-04,Amazon Purchase,15483.91,,-22689821.41
2025-04-30,SIP Investment,18659.98,,-22708481.39
2024-12-25,Salary Credited,,19774.24,-22688707.15
2025-03-25,Amazon Purchase,9550.03,,-22698257.18
2025-01-07,Salary Credited,,4437.86,-22693819.32
2025-05-15,Salary Credited,,13053.02,-22680766.3
2025-03-31,Insurance Premium,3954.13,,-22684720.43
2025-03-30,SIP Investment,11833.41,,-22696553.84
2025-01-07,Salary Credited,,14257.69,-22682296.15
2025-05-27,Amazon Purchase,3540.56,,-22685836.71
2025-03-13,Amazon Purchase,1615.35,,-22687452.06
2025-06-05,Salary Credited,,2617.96,-22684834.1
2025-03-02,Insurance Premium,16803.9,,-22701638.0
2025-01-22,Credit Card Payment,566.93,,-22702204.93
2025-02-13,Salary Credited,,2242.04,-22699962.89
2025-01-28,Amazon Purchase,1441.04,,-22701403.93
2025-05-04,SIP Investment,1880.25,,-22703284.18
2025-01-23,SIP Investment,4404.8,,-22707688.98
2025-05-05,UPI to Zomato,11908.5,,-22719597.48
2025-01-02,UPI to Zomato,3333.24,,-22722930.72
2025-01-24,UPI to Zomato,10766.92,,-22733697.64
2025-03-26,SIP Investment,17193.88,,-22750891.52
2025-04-15,Flight Booking,8318.0,,-22759209.52
2025-05-25,Medical Expense,1725.1,,-22760934.62
2025-01-21,Amazon Purchase,6284.34,,-22767218.96
2025-01-19,Fuel,16710.46,,-22783929.42
2025-05-18,Amazon Purchase,16919.82,,-22800849.24
2025-02-08,Electricity Bill,11423.36,,-22812272.6
2025-01-16,Flight Booking,3226.44,,-22815499.04
2025-03-27,Flight Booking,15958.24,,-22831457.28
2025-03-09,Salary Credited,,9501.87,-22821955.41
2025-04-29,Salary Credited,,13164.27,-22808791.14
2025-06-18,Flight Booking,2819.56,,-22811610.7
2025-03-06,Insurance Premium,13920.51,,-22825531.21
2025-06-07,Salary Credited,,2964.87,-22822566.34
2025-06-19,SIP Investment,16204.28,,-22838770.62
2025-05-17,Amazon Purchase,14369.32,,-22853139.94
2025-02-12,Amazon Purchase,5513.81,,-22858653.75
2025-02-09,SIP Investment,15553.6,,-22874207.35
2025-01-02,Medical Expense,16355.82,,-22890563.17
2025-05-30,UPI to Zomato,3025.76,,-22893588.93
2025-02-06,Credit Card Payment,13538.76,,-22907127.69
2025-02-21,SIP Investment,607.24,,-22907734.93
2025-06-16,Flight Booking,11631.76,,-22919366.69
2025-01-02,Flight Booking,2249.7,,-22921616.39
2025-03-30,Fuel,2616.29,,-22924232.68
2024-12-29,UPI to Zomato,10776.04,,-22935008.72
2024-12-28,Insurance Premium,9558.5,,-22944567.22
2025-06-11,Flight Booking,6764.3,,-22951331.52
2025-04-20,SIP Investment,14477.16,,-22965808.68
2025-06-11,SIP Investment,15419.69,,-22981228.37
2025-05-08,SIP Investment,5859.26,,-22987087.63
2025-04-15,Salary Credited,,13567.5,-22973520.13
2025-03-21,Credit Card Payment,15521.66,,-22989041.79
2025-06-20,Amazon Purchase,7301.4,,-22996343.19
2025-06-07,Medical Expense,6048.18,,-23002391.37
2025-04-27,Flight Booking,10262.4,,-23012653.77
2025-04-26,Flight Booking,14507.61,,-23027161.38
2025-03-11,Salary Credited,,2267.7,-23024893.68
2025-05-15,Fuel,6338.08,,-23031231.76
2025-04-07,Credit Card Payment,6135.8,,-23037367.56
2025-01-20,UPI to Zomato,17160.52,,-23054528.08
2025-01-25,Salary Credited,,1450.58,-23053077.5
2025-03-14,Credit Card Payment,8487.92,,-23061565.42
2025-03-18,Salary Credited,,14314.42,-23047251.0
2025-04-29,Medical Expense,1211.22,,-23048462.22
2025-02-02,Fuel,14166.04,,-23062628.26
2025-03-06,UPI to Zomato,7999.5,,-23070627.76
2025-01-20,UPI to Zomato,16711.32,,-23087339.08
2025-06-03,Fuel,7592.22,,-23094931.3
2025-04-21,Salary Credited,,5497.64,-23089433.66
2025-03-11,Medical Expense,13328.56,,-23102762.22
2024-12-25,Credit Card Payment,9270.56,,-23112032.78
2025-04-25,Credit Card Payment,7738.38,,-23119771.16
2025-02-13,Fuel,10585.84,,-23130357.0
2025-05-14,Electricity Bill,10483.12,,-23140840.12
2025-06-19,Flight Booking,12243.04,,-23153083.16
2025-04-16,SIP Investment,19168.17,,-23172251.33
2025-05-28,Amazon Purchase,4703.13,,-23176954.46
2025-05-02,Salary Credited,,12242.09,-23164712.37
2025-06-11,Fuel,1814.21,,-23166526.58
2025-05-16,Electricity Bill,7552.69,,-23174079.27
2025-05-01,Medical Expense,1587.29,,-23175666.56
2025-06-24,Salary Credited,,18978.07,-23156688.49
2025-02-05,SIP Investment,7388.72,,-23164077.21
2025-06-09,Salary Credited,,15457.65,-23148619.56
2025-02-16,SIP Investment,6712.2,,-23155331.76
2025-02-23,Amazon Purchase,1050.18,,-23156381.94
2025-06-11,Fuel,15943.31,,-23172325.25
2025-03-29,Medical Expense,5636.09,,-23177961.34
2025-05-17,Flight Booking,18047.13,,-23196008.47
2025-05-05,Insurance Premium,4220.04,,-23200228.51
2025-05-21,Salary Credited,,8157.24,-23192071.27
2025-05-16,Medical Expense,3752.18,,-23195823.45
2025-01-11,SIP Investment,5686.1,,-23201509.55
2025-05-29,Insurance Premium,711.79,,-23202221.34
2025-05-24,Insurance Premium,4685.49,,-23206906.83
2025-06-24,Fuel,19685.35,,-23226592.18
2025-05-06,SIP Investment,14519.51,,-23241111.69
2025-02-23,Amazon Purchase,12828.84,,-23253940.53
2025-04-08,SIP Investment,13680.5,,-23267621.03
2025-03-08,Insurance Premium,9615.93,,-23277236.96
2025-02-14,Insurance Premium,5582.09,,-23282819.05
2025-04-22,Insurance Premium,13436.62,,-23296255.67
2025-05-24,UPI to Zomato,16273.83,,-23312529.5
2025-01-06,Insurance Premium,1604.4,,-23314133.9
2025-01-08,Medical Expense,4776.1,,-23318910.0
2025-01-20,SIP Investment,18717.56,,-23337627.56
2025-02-04,Credit Card Payment,8837.89,,-23346465.45
2025-03-16,Credit Card Payment,8302.1,,-23354767.55
2025-01-07,Insurance Premium,6260.13,,-23361027.68
2025-06-12,Salary Credited,,1758.13,-23359269.55
2025-06-04,Electricity Bill,15780.04,,-23375049.59
2025-04-30,Credit Card Payment,8534.07,,-23383583.66
2025-06-03,Salary Credited,,18784.28,-23364799.38
2025-01-12,Flight Booking,2048.27,,-23366847.65
2025-05-13,Flight Booking,9981.92,,-23376829.57
2025-02-01,Insurance Premium,8943.3,,-23385772.87
2025-01-01,UPI to Zomato,15126.41,,-23400899.28
2025-06-25,Medical Expense,7150.96,,-23408050.24
2025-03-22,Credit Card Payment,11237.77,,-23419288.01
2025-06-02,Electricity Bill,14331.4,,-23433619.41
2025-04-20,Electricity Bill,5379.42,,-23438998.83
2025-02-11,Salary Credited,,9667.83,-23429331.0
2025-06-11,Salary Credited,,5271.24,-23424059.76
2025-05-20,Electricity Bill,4858.97,,-23428918.73
2025-03-28,Electricity Bill,15715.58,,-23444634.31
2025-04-29,Insurance Premium,7844.24,,-23452478.55
2025-06-25,Insurance Premium,2671.42,,-23455149.97
2025-02-28,Flight Booking,19344.79,,-23474494.76
2025-01-31,Flight Booking,4694.4,,-23479189.16
2025-05-20,Amazon Purchase,7815.66,,-23487004.82
2025-04-07,Amazon Purchase,8260.32,,-23495265.14
2025-02-17,Fuel,4423.46,,-23499688.6
2025-04-25,Medical Expense,5238.01,,-23504926.61
2025-01-04,SIP Investment,5613.61,,-23510540.22
2025-04-12,UPI to Zomato,6916.77,,-23517456.99
2025-01-12,UPI to Zomato,19012.58,,-23536469.57
2025-05-18,Electricity Bill,4790.99,,-23541260.56
2025-01-21,Medical Expense,3735.51,,-23544996.07
2025-02-07,Flight Booking,8547.75,,-23553543.82
2025-01-22,Credit Card Payment,5947.0,,-23559490.82
2025-02-04,Flight Booking,19251.71,,-23578742.53
2025-05-05,UPI to Zomato,9150.32,,-23587892.85
2025-03-19,Fuel,8593.73,,-23596486.58
2025-01-06,Electricity Bill,2937.64,,-23599424.22
2025-05-15,Credit Card Payment,5675.23,,-23605099.45
2025-03-19,Salary Credited,,5752.6,-23599346.85
2024-12-30,Flight Booking,15966.68,,-23615313.53
2025-04-18,Amazon Purchase,9985.04,,-23625298.57
2025-02-04,Flight Booking,15279.06,,-23640577.63
2025-03-27,Credit Card Payment,14824.9,,-23655402.53
2025-01-09,Amazon Purchase,5678.72,,-23661081.25
2025-06-23,SIP Investment,18236.96,,-23679318.21
2025-04-01,Credit Card Payment,7979.24,,-23687297.45
2025-06-02,SIP Investment,13267.52,,-23700564.97
2025-04-20,Flight Booking,15449.33,,-23716014.3
2025-06-03,Insurance Premium,671.7,,-23716686.0
2025-01-20,Salary Credited,,5410.92,-23711275.08
2025-03-11,Insurance Premium,1498.82,,-23712773.9
2025-05-17,Medical Expense,17669.66,,-23730443.56
2025-03-04,SIP Investment,2560.47,,-23733004.03
2025-01-02,Fuel,10028.34,,-23743032.37
2025-01-05,SIP Investment,9980.21,,-23753012.58
2025-01-12,Medical Expense,1641.58,,-23754654.16
2025-04-28,Fuel,8726.23,,-23763380.39
2025-02-26,Medical Expense,14211.89,,-23777592.28
2025-03-11,UPI to Zomato,11472.66,,-23789064.94
2025-06-09,Electricity Bill,2757.22,,-23791822.16
2025-03-18,Fuel,11422.28,,-23803244.44
2025-01-23,SIP Investment,16691.48,,-23819935.92
2025-05-27,Fuel,831.62,,-23820767.54
2024-12-27,Medical Expense,8544.52,,-23829312.06
2025-01-19,Flight Booking,7663.26,,-23836975.32
2025-04-30,Insurance Premium,3600.76,,-23840576.08
2025-04-27,Salary Credited,,11528.66,-23829047.42
2025-06-24,Amazon Purchase,12183.79,,-23841231.21
2025-01-11,Fuel,8218.22,,-23849449.43
2025-01-13,Credit Card Payment,5361.43,,-23854810.86
2025-01-13,SIP Investment,3454.44,,-23858265.3
2025-02-25,Medical Expense,18961.56,,-23877226.86
2025-06-22,SIP Investment,6927.98,,-23884154.84
2025-03-25,Fuel,8435.68,,-23892590.52
2025-03-09,Credit Card Payment,15773.35,,-23908363.87
2025-01-29,Flight Booking,12613.49,,-23920977.36
2025-04-15,Salary Credited,,4914.63,-23916062.73
2025-06-08,UPI to Zomato,5233.74,,-23921296.47
2025-03-29,Flight Booking,8627.98,,-23929924.45
2025-06-02,SIP Investment,7001.09,,-23936925.54
2025-03-29,Insurance Premium,15809.08,,-23952734.62
2025-04-28,Medical Expense,12626.55,,-23965361.17
2025-04-03,Flight Booking,13470.89,,-23978832.06
2024-12-28,Fuel,6950.96,,-23985783.02
2025-05-10,Flight Booking,4455.22,,-23990238.24
2025-04-05,Fuel,9521.36,,-23999759.6
2025-01-04,Fuel,16241.84,,-24016001.44
2025-04-03,Fuel,10864.34,,-24026865.78
2025-06-03,Medical Expense,13398.89,,-24040264.67
2025-02-18,Flight Booking,13898.8,,-24054163.47
2025-06-20,Salary Credited,,10547.9,-24043615.57
2025-04-04,Flight Booking,10821.77,,-24054437.34
2025-02-27,Electricity Bill,7465.46,,-24061902.8
2025-02-22,UPI to Zomato,1975.84,,-24063878.64
2025-06-12,Amazon Purchase,12478.12,,-24076356.76
2025-06-06,Medical Expense,11309.22,,-24087665.98
2025-02-25,UPI to Zomato,4401.56,,-24092067.54
2025-02-10,Fuel,7362.98,,-24099430.52
2025-05-11,Credit Card Payment,1580.27,,-24101010.79
2025-05-06,Flight Booking,13679.54,,-24114690.33
2025-03-04,SIP Investment,19074.32,,-24133764.65
2025-04-26,Amazon Purchase,14412.27,,-24148176.92
2025-01-16,Credit Card Payment,18312.65,,-24166489.57
2025-03-08,Flight Booking,3596.3,,-24170085.87
2025-03-24,Medical Expense,11088.63,,-24181174.5
2025-05-17,Fuel,989.52,,-24182164.02
2025-06-09,Electricity Bill,15126.71,,-24197290.73
2025-06-23,Insurance Premium,18291.66,,-24215582.39
2025-02-21,Credit Card Payment,11308.48,,-24226890.87
2025-06-25,UPI to Zomato,3895.75,,-24230786.62
2025-03-25,UPI to Zomato,7513.34,,-24238299.96
2025-06-14,Medical Expense,1283.67,,-24239583.63
2025-02-14,Flight Booking,16671.4,,-24256255.03
2025-01-14,Fuel,12157.54,,-24268412.57
2025-03-06,Insurance Premium,1660.26,,-24270072.83
2025-02-13,Insurance Premium,18036.76,,-24288109.59
2025-05-29,Flight Booking,19076.66,,-24307186.25
2025-03-07,UPI to Zomato,7088.69,,-24314274.94
2025-03-01,Fuel,8768.95,,-24323043.89
2025-02-08,UPI to Zomato,7757.25,,-24330801.14
2025-01-21,Flight Booking,10267.73,,-24341068.87
2025-06-14,Medical Expense,11094.0,,-24352162.87
2025-04-19,Electricity Bill,15277.8,,-24367440.67
2025-02-26,Medical Expense,8522.26,,-24375962.93
2025-05-17,Amazon Purchase,18400.31,,-24394363.24
2025-03-15,Medical Expense,5237.76,,-24399601.0
2025-05-12,UPI to Zomato,18040.0,,-24417641.0
2025-05-20,SIP Investment,13696.62,,-24431337.62
2025-01-08,SIP Investment,9776.37,,-24441113.99
2025-05-07,UPI to Zomato,8451.43,,-24449565.42
2025-06-11,Amazon Purchase,18077.94,,-24467643.36
2025-01-03,Credit Card Payment,4487.52,,-24472130.88
2025-01-06,Fuel,6420.07,,-24478550.95
2025-03-21,Insurance Premium,3222.9,,-24481773.85
2025-05-17,Fuel,10186.91,,-24491960.76
2025-02-28,UPI to Zomato,4058.63,,-24496019.39
2025-04-19,Flight Booking,11138.91,,-24507158.3
2025-02-24,Electricity Bill,16430.21,,-24523588.51
2025-06-15,Amazon Purchase,18315.74,,-24541904.25
2025-01-28,UPI to Zomato,11999.56,,-24553903.81
2025-02-15,Amazon Purchase,5700.13,,-24559603.94
2025-06-21,Medical Expense,13461.93,,-24573065.87
2025-04-06,Amazon Purchase,13762.13,,-24586828.0
2025-03-13,Amazon Purchase,17205.94,,-24604033.94
2025-05-31,UPI to Zomato,14952.93,,-24618986.87
2025-06-09,UPI to Zomato,6810.82,,-24625797.69
2025-01-07,Credit Card Payment,2193.01,,-24627990.7
2025-01-30,Insurance Premium,6133.08,,-24634123.78
2025-02-03,Medical Expense,14079.91,,-24648203.69
2025-01-10,Flight Booking,11802.66,,-24660006.35
2025-02-27,Credit Card Payment,10351.68,,-24670358.03
2025-06-24,Electricity Bill,4090.52,,-24674448.55
2025-06-10,Fuel,9290.47,,-24683739.02
2025-06-17,Salary Credited,,19585.96,-24664153.06
2025-04-22,Amazon Purchase,10259.37,,-24674412.43
2025-04-28,Electricity Bill,11540.23,,-24685952.66
2025-03-17,SIP Investment,7558.66,,-24693511.32
2025-02-24,SIP Investment,6404.88,,-24699916.2
2025-01-21,SIP Investment,8820.37,,-24708736.57
2025-01-14,Fuel,9316.9,,-24718053.47
2025-03-09,UPI to Zomato,6423.13,,-24724476.6
2025-06-24,UPI to Zomato,2093.58,,-24726570.18
2025-04-04,Fuel,17224.13,,-24743794.31
2025-05-16,Flight Booking,13795.77,,-24757590.08
2025-05-15,Credit Card Payment,638.82,,-24758228.9
2025-05-02,Medical Expense,6678.98,,-24764907.88
2025-01-18,Salary Credited,,5753.5,-24759154.38
2025-02-08,Electricity Bill,16701.92,,-24775856.3
2025-03-27,Fuel,12420.84,,-24788277.14
2025-04-28,UPI to Zomato,17802.48,,-24806079.62
2025-02-05,Medical Expense,14684.41,,-24820764.03
2025-01-18,Amazon Purchase,18744.39,,-24839508.42
2025-01-18,UPI to Zomato,12134.03,,-24851642.45
2025-01-08,Electricity Bill,6707.69,,-24858350.14
2024-12-28,Salary Credited,,13299.9,-24845050.24
2025-01-11,Electricity Bill,3049.12,,-24848099.36
2025-02-02,Medical Expense,19590.58,,-24867689.94
2025-02-18,Flight Booking,11534.6,,-24879224.54
2024-12-30,Electricity Bill,4359.19,,-24883583.73
2025-06-01,SIP Investment,13525.43,,-24897109.16
2025-06-07,Medical Expense,6786.77,,-24903895.93
2025-06-12,Fuel,9529.6,,-24913425.53
2025-01-28,Medical Expense,19616.83,,-24933042.36
2025-01-29,Medical Expense,14750.1,,-24947792.46
2025-03-06,Fuel,3161.68,,-24950954.14
2025-04-17,Credit Card Payment,10768.8,,-24961722.94
2025-05-06,SIP Investment,16609.01,,-24978331.95
2025-03-28,Salary Credited,,18728.7,-24959603.25
2024-12-29,Salary Credited,,11986.25,-24947617.0
2025-03-14,Flight Booking,8748.18,,-24956365.18
2025-01-31,Insurance Premium,10850.66,,-24967215.84
2025-02-02,Flight Booking,3253.43,,-24970469.27
2025-01-03,Salary Credited,,15554.95,-24954914.32
2025-03-25,Insurance Premium,9273.49,,-24964187.81
2025-04-02,SIP Investment,529.27,,-24964717.08
2025-03-02,Credit Card Payment,16171.97,,-24980889.05
2025-03-07,Flight Booking,10255.17,,-24991144.22
2025-02-25,Credit Card Payment,16492.04,,-25007636.26
2025-06-19,Amazon Purchase,12759.39,,-25020395.65
2025-04-28,Credit Card Payment,1215.79,,-25021611.44
2025-05-03,Insurance Premium,6564.62,,-25028176.06
2025-03-14,Fuel,17154.44,,-25045330.5
2025-01-25,Insurance Premium,16820.06,,-25062150.56
2025-04-08,Amazon Purchase,17208.52,,-25079359.08
2025-03-15,Medical Expense,4296.68,,-25083655.76
2025-02-27,Amazon Purchase,5683.61,,-25089339.37
2024-12-28,Salary Credited,,11692.31,-25077647.06
2025-02-15,Medical Expense,5731.43,,-25083378.49
2025-03-31,Electricity Bill,15900.19,,-25099278.68
2025-05-11,Fuel,19477.4,,-25118756.08
2025-01-31,SIP Investment,16836.32,,-25135592.4
2025-05-16,Salary Credited,,10834.9,-25124757.5
2025-05-06,Amazon Purchase,13597.23,,-25138354.73
2025-02-21,Insurance Premium,4640.47,,-25142995.2
2025-04-08,Insurance Premium,11960.73,,-25154955.93
2025-04-22,Credit Card Payment,14569.95,,-25169525.88
2025-03-16,Amazon Purchase,17920.9,,-25187446.78
2025-06-08,UPI to Zomato,18104.36,,-25205551.14
2025-04-05,Amazon Purchase,1560.02,,-25207111.16
2025-03-28,Salary Credited,,945.25,-25206165.91
2025-04-24,Fuel,18373.45,,-25224539.36
2025-02-15,Electricity Bill,2527.2,,-25227066.56
2025-04-29,UPI to Zomato,13709.01,,-25240775.57
2025-05-18,Medical Expense,1484.7,,-25242260.27
2025-05-19,Medical Expense,8894.56,,-25251154.83
2025-01-08,Credit Card Payment,12776.11,,-25263930.94
2025-02-20,SIP Investment,10360.98,,-25274291.92
2025-03-30,Electricity Bill,17391.61,,-25291683.53
2025-02-14,Insurance Premium,13592.09,,-25305275.62
2025-06-09,Credit Card Payment,1141.64,,-25306417.26
2025-04-27,Credit Card Payment,14548.46,,-25320965.72
2025-03-14,Fuel,1223.04,,-25322188.76
2025-01-26,Flight Booking,9170.08,,-25331358.84
2025-02-17,Amazon Purchase,2498.93,,-25333857.77
2025-01-08,SIP Investment,13123.81,,-25346981.58
2025-05-09,Electricity Bill,14130.07,,-25361111.65
2025-04-22,UPI to Zomato,2533.56,,-25363645.21
2025-02-01,Insurance Premium,4572.36,,-25368217.57
2025-02-20,Fuel,9737.15,,-25377954.72
2025-03-09,Flight Booking,10962.56,,-25388917.28
2025-06-11,UPI to Zomato,4418.1,,-25393335.38
2025-01-02,SIP Investment,11615.68,,-25404951.06
2025-01-30,SIP Investment,15659.91,,-25420610.97
2025-04-07,UPI to Zomato,13740.24,,-25434351.21
2025-06-21,Medical Expense,15454.21,,-25449805.42
2025-01-13,UPI to Zomato,10347.9,,-25460153.32
2025-05-15,Flight Booking,5602.95,,-25465756.27
2025-02-18,Amazon Purchase,11359.83,,-25477116.1
2025-06-07,Electricity Bill,4292.52,,-25481408.62
2025-05-04,SIP Investment,14880.44,,-25496289.06
2025-05-16,UPI to Zomato,8607.11,,-25504896.17
2025-06-13,Fuel,16564.08,,-25521460.25
2025-05-27,Credit Card Payment,9571.93,,-25531032.18
2025-02-01,SIP Investment,5669.61,,-25536701.79
2025-05-21,Credit Card Payment,1326.45,,-25538028.24
2024-12-30,SIP Investment,8290.17,,-25546318.41
2025-05-15,UPI to Zomato,11052.76,,-25557371.17
2025-02-13,Amazon Purchase,15175.63,,-25572546.8
2025-05-26,Electricity Bill,10916.65,,-25583463.45
2025-02-04,Fuel,12538.75,,-25596002.2
2025-05-12,SIP Investment,6837.96,,-25602840.16
2025-05-10,Amazon Purchase,10965.3,,-25613805.46
2025-04-11,Amazon Purchase,934.45,,-25614739.91
2024-12-28,Salary Credited,,11770.53,-25602969.38
2025-06-04,UPI to Zomato,2819.33,,-25605788.71
2025-02-24,UPI to Zomato,9652.11,,-25615440.82
2025-01-02,Amazon Purchase,5701.26,,-25621142.08
2025-05-15,Electricity Bill,5276.7,,-25626418.78
2025-04-12,SIP Investment,13236.01,,-25639654.79
2025-01-08,Insurance Premium,15418.01,,-25655072.8
2025-05-29,Salary Credited,,13657.14,-25641415.66
2025-05-18,Medical Expense,1282.19,,-25642697.85
2025-06-08,Credit Card Payment,7744.15,,-25650442.0
2025-06-13,Amazon Purchase,15425.92,,-25665867.92
2025-04-02,Credit Card Payment,12142.94,,-25678010.86
2025-04-18,Salary Credited,,16444.8,-25661566.06
2025-06-07,UPI to Zomato,12987.52,,-25674553.58
2025-02-27,Flight Booking,6526.57,,-25681080.15
2025-05-03,Fuel,3699.24,,-25684779.39
2025-02-08,Amazon Purchase,9440.21,,-25694219.6
2025-06-09,Electricity Bill,15161.33,,-25709380.93
2025-05-01,Electricity Bill,7204.93,,-25716585.86
2024-12-29,Credit Card Payment,14244.75,,-25730830.61
2025-02-16,Credit Card Payment,8325.54,,-25739156.15
2025-02-25,Electricity Bill,13672.57,,-25752828.72
2025-04-18,UPI to Zomato,5884.96,,-25758713.68
2025-03-06,UPI to Zomato,4017.3,,-25762730.98
2025-04-04,Fuel,7239.39,,-25769970.37
